Route Number,ETA,Distance,Route,Time
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:09:53 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:09:53 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:09:53 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:01 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:01 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:01 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:06 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:06 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:06 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:10 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:10 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:10 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:15 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:15 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:15 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:20 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:20 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:20 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:25 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:25 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:25 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:30 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:30 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:30 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:34 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:34 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:34 2018
1,32 min,25.0 mi,Via I-405 S,Mon Aug 13 11:10:39 2018
2,33 min,22.6 mi,Via I-405 S,Mon Aug 13 11:10:39 2018
3,39 min,29.9 mi,"Via I-105 E, I-605 S",Mon Aug 13 11:10:39 2018
