Route Number,ETA,Distance,Route,Time
1,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:04 2018
2,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:04 2018
1,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:10 2018
2,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:10 2018
1,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:15 2018
2,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:15 2018
1,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:19 2018
2,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:19 2018
1,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:24 2018
2,34 min,15.4 mi,"Via Hicks St, I-278 W",Mon Aug 13 11:11:24 2018
