Route Number,ETA,Distance,Route,Time
1,27 min min,22.6 miles,I-405 S,Mon Aug 13 11:13:46 2018
2,29 min min,28.2 miles,I-105 E and I-405 S,Mon Aug 13 11:13:46 2018
3,32 min min,29.9 miles,I-105 E and I-605 S,Mon Aug 13 11:13:46 2018
1,27 min min,22.6 miles,I-405 S,Mon Aug 13 11:13:53 2018
2,29 min min,28.2 miles,I-105 E and I-405 S,Mon Aug 13 11:13:53 2018
3,32 min min,29.9 miles,I-105 E and I-605 S,Mon Aug 13 11:13:53 2018
1,27 min min,22.6 miles,I-405 S,Mon Aug 13 11:13:59 2018
2,29 min min,28.2 miles,I-105 E and I-405 S,Mon Aug 13 11:13:59 2018
3,31 min min,29.9 miles,I-105 E and I-605 S,Mon Aug 13 11:13:59 2018
1,27 min min,22.6 miles,I-405 S,Mon Aug 13 11:14:04 2018
2,29 min min,28.2 miles,I-105 E and I-405 S,Mon Aug 13 11:14:04 2018
3,31 min min,29.9 miles,I-105 E and I-605 S,Mon Aug 13 11:14:04 2018
