Route Number,ETA,Distance,Route,Time
1,50min,18.4mi,via New Jersey Turnpike,Wed Jul 25 12:53:29 2018
2,56min,17.3mi,via US-1 N,Wed Jul 25 12:53:29 2018
3,44min,18.8mi,via I-78 E,Wed Jul 25 12:53:29 2018
1,50min,18.4mi,via New Jersey Turnpike,Wed Jul 25 12:54:01 2018
2,56min,17.3mi,via US-1 N,Wed Jul 25 12:54:01 2018
3,44min,18.8mi,via I-78 E,Wed Jul 25 12:54:01 2018
1,50min,18.4mi,via New Jersey Turnpike,Wed Jul 25 12:54:15 2018
2,56min,17.3mi,via US-1 N,Wed Jul 25 12:54:15 2018
1,50min,18.4mi,via New Jersey Turnpike,Wed Jul 25 12:54:53 2018
2,56min,17.3mi,via US-1 N,Wed Jul 25 12:54:53 2018
